"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es la capital de Francia?", "París", "Londres", "Berlín", "París"
"¿Cuánt planetas hay en el sistema solar?", "8", "7", "9", "8"
"¿Cuál es el símbolo químico del oro?", "Au", "Ag", "Pb", "Au"
"¿En qué año llegó el hombre a la Luna?", "1969", "1970", "1968", "1969"
"¿Cuál es el río más largo del mundo?", "Amazonas", "Nilo", "Yangtsé", "Nilo"
"¿Cuál es la moneda oficial de Japón?", "Yen", "Dólar", "Euro", "Yen"
"¿Cuál es el elemento químico más abundante en la atmósfera terrestre?", "Oxígeno", "Nitrógeno", "Carbono", "Nitrógeno"
"¿Qué país tiene la población más grande del mundo?", "China", "India", "Estados Unidos", "China"
"¿Cuál es el animal terrestre más rápido del mundo?", "Guepardo", "León", "Águila", "Guepardo"
"¿Quién escribió 'Don Quijote de la Mancha'?", "Miguel de Cervantes", "William Shakespeare", "Gabriel García Márquez", "Miguel de Cervantes"
"¿Qué país es conocido como el país del sol naciente?", "Japón", "China", "India", "Japón"
"¿Cuál es el órgano más grande del cuerpo humano?", "Piel", "Corazón", "Hígado", "Piel"
"¿Qué gas es el principal componente del gas natural?", "Metano", "Oxígeno", "Dióxido de carbono", "Metano"
"¿Cuál es la temperatura normal del cuerpo humano en grados Celsius?", "37", "35", "38", "37"
"¿Qué ciudad es conocida como la ciudad de los vientos?", "Chicago", "Nueva York", "San Francisco", "Chicago"
"¿Cuál es la capital de Australia?", "Canberra", "Sydney", "Melbourne", "Canberra"
"¿Qué vitamina es producida por el cuerpo humano cuando se expone al sol?", "Vitamina D", "Vitamina C", "Vitamina A", "Vitamina D"
"¿En qué continente se encuentra el desierto del Sahara?", "África", "Asia", "Australia", "África"
"¿Cuál es el libro sagrado del Islam?", "Corán", "Biblia", "Torá", "Corán"
